1;4220;LORIVAL;
2;6574;WILSON;
3;2574;WILSON;
4;1574;WILSON;
5;1920;WILSON;
6;2067;WILSON;
7;1314;WILSON;
8;4574;WILSON;
9;9574;WILSON;
10;574;WILSON;
11;3574;WILSON;
12;8574;WILSON;
13;7574;WILSON;
14;5628;VALDIR;
15;7587;VALDIR;
16;2784;VALDIR;
17;9498;VALDIR;
18;8093;VALDIR;
19;1219;VALDIR;
20;1965;VALDIR;
21;256;VALDIR;
22;1329;VALDIR;
23;6918;VALDIR;
24;9171;VALDIR;
25;1208;VALDIR;
26;6796;VALDIR;
27;1438;VALDIR;
28;7944;VALDIR;
29;1860;VALDIR;
30;3418;VALDIR;
31;823;VALDIR;
32;57;VALDIR;
33;1967;VALDIR;
34;3417;VALDIR;
35;9100;VALDIR;
36;938;VALDIR;
37;8633;VALDIR;
38;1991;VALDIR;
39;5306;VALDIR;
40;3577;DAI;
41;2209;DAI;
42;3940;DAI;
43;9920;DAI;
44;3110;DAI;
45;3300;DAI;
46;1006;DAI;
47;409;DAI;
48;2512;DAI;
49;6345;DAI;
50;3668;DAI;
51;1978;DAI;
52;3111;DAI;
53;3112;DAI;
54;738;DAI;
55;4212;DAI;
56;7912;DAI;
57;9950;DAI;
58;1844;DAI;
59;3247;DAI;
60;4440;DAI;
61;7940;DAI;
62;1247;DAI;
63;653;DAI;
64;7796;DAI;
65;8867;DAI;
66;7340;DAI;
67;1962;DAI;
68;392;DAI;
69;1012;DAI;
70;1979;DAI;
71;2106;DAI;
72;8418;DAI;
73;1980;DAI;
74;6227;DAI;
75;4418;DAI;
76;1210;DAI;
77;2544;DAI;
78;7740;DAI;
79;1653;DAI;
80;1708;BETO;
81;4142;BETO;
82;5342;BETO;
83;3035;BETO;
84;9436;BETO;
85;5343;BETO;
86;5841;BETO;
87;5842;BETO;
88;2044;BETO;
89;9346;BETO;
90;6117;BETO;
91;7135;BETO;
92;3108;BETO;
93;3458;BETO;
94;4719;BETO;
95;1643;BETO;
96;1243;BETO;
97;5341;BETO;
98;6949;BETO;
99;9507;BETO;
100;9078;BETO;
101;3877;BETO;
102;5843;BETO;
103;1443;BETO;
104;5972;BETO;
105;3414;BETO;
106;3742;BETO;
107;1494;BETO;
108;984;BETO;
109;7469;BETO;
110;8910;BETO;
